Ward,Primary Type,Count
27,CRIMINAL TRESPASS  ,11206
27,DECEPTIVE PRACTICE ,8548
27,GAMBLING   ,979
27,HOMICIDE   ,474
27,HUMAN TRAFFICKING  ,2
27,INTERFERENCE WITH PUBLIC OFFICER   ,761
27,INTIMIDATION       ,108
27,KIDNAPPING ,129
27,LIQUOR LAW VIOLATION       ,452
27,MOTOR VEHICLE THEFT        ,10367
27,NARCOTICS  ,46785
27,NON - CRIMINAL     ,1
27,NON-CRIMINAL       ,4
27,NON-CRIMINAL (SUBJECT SPECIFIED)   ,1
27,OBSCENITY  ,19
27,OFFENSE INVOLVING CHILDREN ,1288
27,OTHER NARCOTIC VIOLATION   ,4
27,OTHER OFFENSE      ,10869
27,PROSTITUTION       ,863
27,PUBLIC INDECENCY   ,2
27,PUBLIC PEACE VIOLATION     ,1272
27,ROBBERY    ,8229
27,SEX OFFENSE        ,663
27,STALKING   ,121
27,THEFT      ,57162
27,WEAPONS VIOLATION  ,2926
28,ARSON      ,487
28,ASSAULT    ,19520
28,BATTERY    ,64286
28,BURGLARY   ,9024
28,CONCEALED CARRY LICENSE VIOLATION  ,36
28,CRIM SEXUAL ASSAULT        ,1153
28,CRIMINAL DAMAGE    ,25552
28,CRIMINAL SEXUAL ASSAULT    ,171
28,CRIMINAL TRESPASS  ,6191
28,DECEPTIVE PRACTICE ,9044
28,GAMBLING   ,1660
28,HOMICIDE   ,772
28,HUMAN TRAFFICKING  ,5
28,INTERFERENCE WITH PUBLIC OFFICER   ,1322
28,INTIMIDATION       ,111
28,KIDNAPPING ,201
28,LIQUOR LAW VIOLATION       ,413
28,MOTOR VEHICLE THEFT        ,11210
28,NARCOTICS  ,80300
28,OBSCENITY  ,19
28,OFFENSE INVOLVING CHILDREN ,1678
28,OTHER NARCOTIC VIOLATION   ,3
28,OTHER OFFENSE      ,15189
28,PROSTITUTION       ,7573
28,PUBLIC INDECENCY   ,3
28,PUBLIC PEACE VIOLATION     ,2087
28,RITUALISM  ,1
28,ROBBERY    ,13447
28,SEX OFFENSE        ,768
28,STALKING   ,112
28,THEFT      ,36190
28,WEAPONS VIOLATION  ,5459
29,ARSON      ,323
29,ASSAULT    ,11469
29,BATTERY    ,34781
29,BURGLARY   ,7536
29,CONCEALED CARRY LICENSE VIOLATION  ,11
29,CRIM SEXUAL ASSAULT        ,706
29,CRIMINAL DAMAGE    ,17126
29,CRIMINAL SEXUAL ASSAULT    ,125
29,CRIMINAL TRESPASS  ,3250
29,DECEPTIVE PRACTICE ,5251
29,GAMBLING   ,617
29,HOMICIDE   ,335
29,HUMAN TRAFFICKING  ,1
29,INTERFERENCE WITH PUBLIC OFFICER   ,584
29,INTIMIDATION       ,114
29,KIDNAPPING ,139
29,LIQUOR LAW VIOLATION       ,220
29,MOTOR VEHICLE THEFT        ,7478
29,NARCOTICS  ,23583
29,NON - CRIMINAL     ,1
29,NON-CRIMINAL       ,8
29,OBSCENITY  ,14
29,OFFENSE INVOLVING CHILDREN ,1324
29,OTHER NARCOTIC VIOLATION   ,3
29,OTHER OFFENSE      ,11195
29,PROSTITUTION       ,460
29,PUBLIC INDECENCY   ,4
29,PUBLIC PEACE VIOLATION     ,1128
29,ROBBERY    ,6583
29,SEX OFFENSE        ,561
29,STALKING   ,52
29,THEFT      ,21505
29,WEAPONS VIOLATION  ,2396
3,ARSON       ,228
3,ASSAULT     ,14853
3,BATTERY     ,43889
3,BURGLARY    ,7943
3,CONCEALED CARRY LICENSE VIOLATION   ,11
3,CRIM SEXUAL ASSAULT ,734
3,CRIMINAL DAMAGE     ,18840
3,CRIMINAL SEXUAL ASSAULT     ,117
3,CRIMINAL TRESPASS   ,14037
3,DECEPTIVE PRACTICE  ,7329
3,GAMBLING    ,482
3,HOMICIDE    ,415
3,HUMAN TRAFFICKING   ,3
